pair,pair_code,term_group,term,coef_pct_points,std_err_pct_points,p_value,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var
2009-2010,0910,industry,C(ind02_t)[T.8270.0],-2.45040162084883,43.41606975542487,0.9549913172140003,-87.5443346917603,82.64353145006264,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.8290.0],-24.851251132612518,50.162659847272984,0.6203083762625428,-123.16825780200107,73.46575553677603,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.8370.0],13.700464582992444,40.85289621623541,0.7373528491575883,-66.3697406649816,93.7706698309665,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.8390.0],30.35327643004548,44.78347197579505,0.4979121171204537,-57.42071574517165,118.12726860526259,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.8470.0],-70.29861759702327,45.725583514582965,0.12419482172443627,-159.91911445768432,19.321879263637776,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.8570.0],19.41870101983173,40.10645357084247,0.6282588668069766,-59.18850352664736,98.02590556631083,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.8590.0],-8.563135682076023,43.21353501996458,0.8429209398749921,-93.26010796586696,76.13383660171493,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.8680.0],18.037704544853707,61.66235986434889,0.7698862061623404,-102.81829999101824,138.89370908072567,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.9370.0],39.797776796231524,37.791381965367336,0.2922991348592747,-34.27197078188499,113.86752437434802,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.9380.0],50.4251512630745,37.83881398606662,0.1826531459838373,-23.737561367326563,124.58786389347556,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.9390.0],48.660023374584696,38.65087072906955,0.20804362909991803,-27.094291225505007,124.41433797467441,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.9470.0],41.00935360665204,37.82330193766527,0.2782605485731797,-33.12295596755593,115.14166318086004,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.9480.0],39.07388723686509,38.78638266615072,0.31373658056335196,-36.946025879378965,115.09380035310915,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.9490.0],39.971570722914066,39.27544272659297,0.30880901674865346,-37.00688249807378,116.9500239439019,689,0.1630276505269368,earnwt_t
2009-2010,0910,industry,C(ind02_t)[T.9570.0],10.968968895602071,40.398946603470584,0.7859940335394878,-68.21151146055702,90.14944925176115,689,0.1630276505269368,earnwt_t
2009-2010,0910,occupation,C(docc00_t)[T.10.0],8.610811684049745,9.64607165475835,0.37203098280929014,-10.295141351569303,27.51676471966879,689,0.1630276505269368,earnwt_t
2009-2010,0910,occupation,C(docc00_t)[T.11.0],7.399408393564625,25.34896870302666,0.7703617433632709,-42.28365730960063,57.08247409672988,689,0.1630276505269368,earnwt_t
2009-2010,0910,occupation,C(docc00_t)[T.12.0],-2.079656065950714,9.288986282845583,0.8228475105186555,-20.28573463321465,16.126422501313222,689,0.1630276505269368,earnwt_t
2009-2010,0910,occupation,C(docc00_t)[T.13.0],-16.00551774422236,17.030000035388916,0.3472983570444155,-49.38370447030048,17.372668981855764,689,0.1630276505269368,earnwt_t
2009-2010,0910,occupation,C(docc00_t)[T.14.0],-4.513520935646001,12.087772417619927,0.7088540398748355,-28.205119527497715,19.178077656205712,689,0.1630276505269368,earnwt_t
2009-2010,0910,occupation,C(docc00_t)[T.15.0],-10.241035988639194,18.023547863961582,0.5698970584832228,-45.56654067563771,25.08446869835933,689,0.1630276505269368,earnwt_t
2009-2010,0910,occupation,C(docc00_t)[T.16.0],23.431247619069296,8.76456016986035,0.007508480834852424,6.253025345808752,40.60946989232984,689,0.1630276505269368,earnwt_t
